trip_number,trip_date,vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
170457592,2020-10-16,2293,64330,6001,60,0,W,64200,64330,0,832,1,2,6,0,6,0,0,94.4179,-122.685475,45.59589833333333,2,5
170457596,2020-10-16,2293,64904,6001,60,1,W,64860,64904,0,906,1,1,1,0,6,0,0,18.130569,-122.67054166666667,45.62621,2,5
170457596,2020-10-16,2293,66066,6001,60,1,W,65820,66066,0,832,1,0,0,13,0,4.1893,4.3782,55.648211,-122.68547333333333,45.596005,2,6
170457596,2020-10-16,2293,65030,6001,60,1,W, ,64959,71,908,1,0,2,2,7,0.1572,0.1877,27.617845,-122.67053166666666,45.62855,2,2
170457596,2020-10-16,2293,65531,6001,60,1,W,65400,65468,63,986,1,0,1,1,9,2.222,2.2972,46.437119,-122.68121,45.610976666666666,2,4
170457596,2020-10-16,2293,65184,6001,60,1,W,65100,65072,112,1132,1,0,3,1,9,0.2908,0.3275,14.790826,-122.670445,45.63050333333333,2,4
170457596,2020-10-16,2293,65818,6001,60,1,W, ,65628,190,1015,1,1,3,1,12,2.6346,2.7452,28.988323,-122.68471,45.612315,2,2
170457596,2020-10-16,2293,69305,6001,60,1,W,69240,69305,0,906,1,0,2,0,11,0,0,8.149893,-122.67053333333334,45.62625333333333,2,5
170457596,2020-10-16,2293,69481,6001,60,1,W,69420,69431,50,1132,1,0,0,4,4,0.2908,0.3275,14.42017,-122.67048333333334,45.63056,2,4
170457596,2020-10-16,2293,69790,6001,60,1,W,69660,69773,17,986,1,0,0,0,4,2.2214,2.2972,78.607155,-122.681265,45.61089666666667,2,4
170457596,2020-10-16,2293,69892,6001,60,1,W, ,69879,13,1015,1,0,0,1,3,2.6346,2.7452,31.183341,-122.68470166666667,45.61230666666667,2,2
170457596,2020-10-16,2293,70125,6001,60,1,W,70020,70125,0,832,1,0,0,3,0,4.1887,4.3782,51.94157,-122.68547666666667,45.596015,2,6
170457596,2020-10-16,2293,69391,6001,60,1,W, ,69357,34,908,1,0,1,4,8,0.1572,0.1877,24.7125,-122.67052666666666,45.62854,2,2
170457643,2020-10-16,2293,70918,6001,60,0,W,71040,70918,0,906,1,0,0,2,4,2.9086,2.9963,22.958704,-122.67056,45.626203333333336,2,6
170457643,2020-10-16,2293,70600,6001,60,0,W,70500,70600,0,832,1,1,6,0,6,0,0,114.385797,-122.68550333333333,45.595843333333335,2,5
170457657,2020-10-16,2293,72823,6001,60,1,W, ,72744,79,908,1,0,3,1,10,0.1572,0.1877,25.511918,-122.670525,45.628546666666665,2,2
170457657,2020-10-16,2293,73645,6001,60,1,W,73620,73645,0,832,1,0,0,6,0,4.1887,4.3782,53.367516,-122.68546833333333,45.59601166666667,2,6
170457657,2020-10-16,2293,73315,6001,60,1,W,73260,73281,34,986,1,0,0,3,5,2.2208,2.2972,63.92396,-122.68121666666667,45.610928333333334,2,4
170457657,2020-10-16,2293,73425,6001,60,1,W, ,73403,22,1015,1,0,2,0,7,2.6334,2.7452,24.245344,-122.68470166666667,45.61232666666667,2,2
170457657,2020-10-16,2293,72688,6001,60,1,W,72840,72688,0,906,1,0,1,0,9,0,0,12.17132,-122.67052833333334,45.626223333333336,2,5
